event_id,category_id,user_id,user_name,user_past_event,review_id,rating,date,text
3165,1,26,Citra Sari,"5, 1",31655126,5,6/23/2022,"Fasilitas OK, petugas ramah, kebersihan baik, seruuu banget, pengen kesana lagi deh..."
1114,1,56,Desi Putri,"1, 3",11145156,5,5/31/2022,liburan yang sangat menyenangkan
1215,2,66,Agus Wijaya,"5, 3",12155266,5,5/28/2022,seneng bangett udh lama ga ke dufan
1114,1,187,Bambang Saputra,"3, 1",111451187,5,5/3/2022,Dufan bagus sih buat yang mau refreshing. Semoga wahananya terus awet dan semakin banyak wahana baru
1637,6,83,Sinta Nurhayati,"5, 5",16375683,5,5/2/2022,Dari proses pembelian tiket sampai masuk ke wahana sangat mudah 😎. Terima kasih traveloka
1645,6,55,Joko Sari,"6, 6",16455655,5,4/30/2022,menyenangkan healing bersama-sama 🙏
1650,6,93,Hadi Putri,"5, 6",16505693,5,7/13/2023,"Sat set sat set beli di traveloka lebih gampang gk pake antri tinggal masuk aja nunjukin barcode vouchernya. Ada diskonnya juga. Fasilitas di dalam juga ok, bikin anak2 senang"
1528,5,112,Ani Hadiwijaya,"3, 5",152855112,5,7/3/2023,anak-anak happy
3170,1,108,Dewi Hadiwijaya,"6, 6",317051108,5,6/12/2023,Bagus 👍 Seru 😊 terutama ketika bisa pegang bintang laut 🤗 tp hrs di dlm air yah😉
3659,6,125,Fandi Hidayat,"5, 2",365956125,5,1/24/2023,banyak pengetahuan untuk balita
1110,1,172,Dian Kurniawan,"1, 2",111051172,5,11/24/2022,menambah pengetahuan anak saya
115,1,156,Lina Kusuma,"4, 3",11551156,5,8/24/2022,tempatnya nyaman bersih. ramai pengunjung
1422,4,34,Bambang Putri,"3, 5",14225434,5,7/4/2022,"luar biasa kereeen, stafnya ramah sekali. untuk para pengunjung yukkk jaga kebersihannya"
1640,6,165,Agus Pratama,"6, 2",164056165,5,7/3/2022,tempatnya recommended untuk liburan keluarga
1420,4,13,Hadi Kurniawan,"4, 3",14204413,4,6/3/2022,senang disini... bisa sambil olah raga
117,1,109,Ani Sari,"4, 5",11741109,4,4/4/2023,Penukaran tiket dari traveloka berjalan lancar dangan sangat mudah. Benar2 mempersingkat waktu dan harga lebih murah daripada OTS
1528,5,17,Fajar Wijaya,"1, 1",15284517,4,9/11/2022,asik tapi kalo pergi weekend rame bgt
1423,4,174,Maya Hermawan,"5, 1",142344174,4,5/6/2022,"seharusnya menyenangkan, tetapi saat di sana ternyata banyak atraksi permainan yg tidak beroperasi karena rusak. semoga kedepannya lebih baik lg dalam perawatan"
3165,1,104,Fajar Utami,"2, 5",316541104,4,11/2/2023,karena week and terlalu banyak orang sehingga tidak maksimal untuk melihat pertunjukan nya. tapi untuk bermain anak-anak lumayan ya. karena banyak pengetahuan yang di dapat tentang kehidupan di bawah laut.
1643,6,23,Fajar Kusuma,"4, 1",16434623,4,6/28/2022,"so far so good, terima kasih untuk ilmu dan pengalaman yg dibagikan untuk menjadi sebuah pembelajaran dan kenangan tersendiri bersama keluarga."
1421,4,13,Hadi Kurniawan,"4, 3",14214413,4,6/27/2022,pengalaman pertama ke seaworld buat anak-anaknya adik ipar mereka senang dan katanya pengen balik ke sini lagi
1530,5,61,Agus Setiawan,"4, 5",15303561,3,7/17/2023,"harga naik boogie kemahalan. penunjuk arah kurang jelas,dan keterangan redeem tiket online kurang,akhirnya harus mengantri di tiket langsung dan terakhir baru dikasihtau kalau antri tiket online bukan disitu, dan kena bukan hanya saya tapi ada beberapa tamu yang kena. semoga pelayanan dan informasi lebih jelas terutama disaat high season atau holiday. Terimakasih 🙏 sukses selalu GWK da"
1111,1,35,Maya Nugroho,"6, 2",11113135,3,6/14/2022,"harga tiket terlalu mahal, kurang bervariasi untuk wisatanya"
1647,6,78,Fandi Putri,"3, 3",16473678,3,12/13/2022,Staff bahkan ga tau gimana cara tukar vouchernya. Ini staff di pintu masuk utama loh! Dufan kotor dan belum terawat (efek pandemi) Hari Senin aja antriannya ampuuun …!
3454,4,118,Ani Santoso,"6, 1",345434118,3,12/3/2023,"Aplikasi mudah dan simple, harga relatif saja, hampir sama dgn aplikasi lain sejenis, not bad lah untuk refrensi pernandingan harga, kurang promo promonya, kadang masih suka bug sistem"
1332,3,117,Wahyu Sari,"4, 2",133233117,3,9/23/2023,Sabar dulu
3165,1,85,Maya Susanto,"6, 5",31652185,2,8/23/2022,sudah terlalu lama kurang kebersihannya
